uniq,taxonomy,kingdom,phylum
uniq3201,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2598,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1150,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1172,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1190,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1191,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1357,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1209,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1539,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1590,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1233,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1257,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1264,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3610,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1274,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1276,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1286,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1758,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4752,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1298,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1486,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1316,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1321,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1338,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1362,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1364,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1383,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3101,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1388,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1396,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1403,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1415,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1418,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1854,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2003,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1424,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1427,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1454,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2489,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1455,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1516,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1528,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1518,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1545,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1562,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2443,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1565,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3384,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3431,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1575,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1593,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1577,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1595,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1598,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2168,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2534,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1638,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2281,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1952,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3435,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1686,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1688,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1697,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1696,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1974,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1721,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1759,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2043,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1767,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1765,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1774,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1780,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1798,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2844,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3665,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1840,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1868,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1882,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2805,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1890,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2797,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3113,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3849,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1929,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1926,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1939,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1961,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1956,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1969,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1970,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2463,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2470,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2644,k:Eukaryota_2759,Eukaryota,Eukaryota
