XtechRep,techRep,sample,pcrMerge,sampleMerge,sampleRep,tow,date,site,year,month,season
X1563A,1563A,Jan_2018.1,sample12_1,sample7_1,Jan_2018.1,1563,Jan_2018,Moore Reef,2018,January,Summer
X1563B,1563B,Jan_2018.1,sample12_2,sample7_2,Jan_2018.1,1563,Jan_2018,Moore Reef,2018,January,Summer
X1563C,1563C,Jan_2018.1,sample12_3,sample7_3,Jan_2018.1,1563,Jan_2018,Moore Reef,2018,January,Summer
X1564A,1564A,Jan_2018.2,sample13_1,sample7_4,Jan_2018.2,1564,Jan_2018,Moore Reef,2018,January,Summer
X1564B,1564B,Jan_2018.2,sample13_2,sample7_5,Jan_2018.2,1564,Jan_2018,Moore Reef,2018,January,Summer
X1564C,1564C,Jan_2018.2,sample13_3,sample7_6,Jan_2018.2,1564,Jan_2018,Moore Reef,2018,January,Summer
X1984A,1984A,Mar_2018.1,sample14_1,sample8_1,Mar_2018.1,1984,Mar_2018,Moore Reef,2018,March,Autumn
X1984B,1984B,Mar_2018.1,sample14_2,sample8_2,Mar_2018.1,1984,Mar_2018,Moore Reef,2018,March,Autumn
X1984C,1984C,Mar_2018.1,sample14_3,sample8_3,Mar_2018.1,1984,Mar_2018,Moore Reef,2018,March,Autumn
X1985A,1985A,Mar_2018.2,sample15_1,sample8_4,Mar_2018.2,1985,Mar_2018,Moore Reef,2018,March,Autumn
X1985B,1985B,Mar_2018.2,sample15_2,sample8_5,Mar_2018.2,1985,Mar_2018,Moore Reef,2018,March,Autumn
X1985C,1985C,Mar_2018.2,sample15_3,sample8_6,Mar_2018.2,1985,Mar_2018,Moore Reef,2018,March,Autumn
X208A,208A,Dec_2015.1,sample16_1,sample9_1,Dec_2015.1,208,Dec_2015,Moore Reef,2015,December,Summer
X208B,208B,Dec_2015.1,sample16_2,sample9_2,Dec_2015.1,208,Dec_2015,Moore Reef,2015,December,Summer
X208C,208C,Dec_2015.1,sample16_3,sample9_3,Dec_2015.1,208,Dec_2015,Moore Reef,2015,December,Summer
X209A,209A,Dec_2015.2,sample17_1,sample9_4,Dec_2015.2,209,Dec_2015,Moore Reef,2015,December,Summer
X209B,209B,Dec_2015.2,sample17_2,sample9_5,Dec_2015.2,209,Dec_2015,Moore Reef,2015,December,Summer
X209C,209C,Dec_2015.2,sample17_3,sample9_6,Dec_2015.2,209,Dec_2015,Moore Reef,2015,December,Summer
X286A,286A,Jan_2016.1,sample18_1,sample10_1,Jan_2016.1,286,Jan_2016,Moore Reef,2016,January,Summer
X286B,286B,Jan_2016.1,sample18_2,sample10_2,Jan_2016.1,286,Jan_2016,Moore Reef,2016,January,Summer
X286C,286C,Jan_2016.1,sample18_3,sample10_3,Jan_2016.1,286,Jan_2016,Moore Reef,2016,January,Summer
X287A,287A,Jan_2016.2,sample19_1,sample10_4,Jan_2016.2,287,Jan_2016,Moore Reef,2016,January,Summer
X287B,287B,Jan_2016.2,sample19_2,sample10_5,Jan_2016.2,287,Jan_2016,Moore Reef,2016,January,Summer
X287C,287C,Jan_2016.2,sample19_3,sample10_6,Jan_2016.2,287,Jan_2016,Moore Reef,2016,January,Summer
X548A,548A,Mar_2016.1,sample20_1,sample11_1,Mar_2016.1,548,Mar_2016,Moore Reef,2016,March,Autumn
X548B,548B,Mar_2016.1,sample20_2,sample11_2,Mar_2016.1,548,Mar_2016,Moore Reef,2016,March,Autumn
X548C,548C,Mar_2016.1,sample20_3,sample11_3,Mar_2016.1,548,Mar_2016,Moore Reef,2016,March,Autumn
