otuID,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
uniq10327,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq1033,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
uniq10330,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq1034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10353,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
uniq10357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq1036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10360,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uniq10363,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uniq10364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10379,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq1038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uniq10385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq1039,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniq10391,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uniq10402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq1041,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
uniq10410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
uniq10413,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uniq10429,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
uniq10430,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uniq10436,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uniq10442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uniq10447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
