uniq,phylum,class,order,family,genus,species
uniq13867,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Drupa,Drupa
uniq13956,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1397,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq13981,Mollusca,Bivalvia,Bivalvia,Cardiida,Fragum,Fragum
uniq14,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria pardalis
uniq14028,Mollusca,Gastropoda,Gastropoda,Cephalaspidea,Liloa,Liloa
uniq14056,Mollusca,Gastropoda,Gastropoda,Lepetellida,Emarginula,Emarginula
uniq14076,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq14082,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq14123,Cnidaria,Hydrozoa,Hydrozoa,Siphonophorae,Lensia,Lensia
uniq14136,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq1414,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata
uniq1418,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq14254,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq14259,Arthropoda,Malacostraca,Malacostraca,Decapoda,Olenothus,Olenothus
uniq14263,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Nassarius,Nassarius
uniq1429,Chordata,Actinopteri,Actinopteri,Kurtiformes,Kurtiformes,Kurtiformes
uniq14337,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiura,Ophiura
uniq14348,Cnidaria,Scyphozoa,Scyphozoa,Semaeostomeae,Aurelia,Aurelia
uniq1435,Chordata,Actinopteri,Actinopteri,Actinopteri,Chromis,Chromis
uniq14352,Chordata,Actinopteri,Actinopteri,Kurtiformes,Fowleria,Fowleria
uniq1437,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix
uniq14389,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq1440,Annelida,Polychaeta,Polychaeta,Polychaeta,Chaetopterus,Chaetopterus
uniq14410,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq14416,Echinodermata,Echinoidea,Echinoidea,Arbaciidae,Arbacia,Arbacia
uniq14481,Cnidaria,Anthozoa,Anthozoa,Scleractinia,Galaxea,Galaxea
uniq14519,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq14532,Mollusca,Gastropoda,Gastropoda,Pteropoda,Boasia,Boasia
uniq14535,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq14551,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Cosmocalanus,Cosmocalanus
uniq14562,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq14570,Arthropoda,Insecta,Insecta,Psocoptera,Liposcelis,Liposcelis
uniq14598,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq14599,Echinodermata,Echinoidea,Echinoidea,Spatangoida,Metalia,Metalia
uniq14628,Cnidaria,Anthozoa,Anthozoa,Alcyonacea,Alcyonacea,Alcyonacea
uniq14630,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Paracalanus,Paracalanus
uniq14661,Cnidaria,Anthozoa,Anthozoa,Alcyonacea,Sarcophyton,Sarcophyton
uniq14675,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Littorinimorpha,Littorinimorpha
uniq14689,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq14720,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq14744,Mollusca,Gastropoda,Gastropoda,Aplysiida,Stylocheilus,Stylocheilus
uniq14767,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Delibus,Delibus
uniq1479,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq14817,Annelida,Polychaeta,Polychaeta,Phyllodocida,Nereis,Nereis
uniq1482,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq14874,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq14899,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq149,Chordata,Actinopteri,Actinopteri,Labriformes,Scarus,Scarus
uniq14909,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq14993,Mollusca,Gastropoda,Gastropoda,Gastropoda,Ercolania,Ercolania
uniq1500,Chordata,Actinopteri,Actinopteri,Kurtiformes,Pristiapogon,Pristiapogon
uniq15011,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq15058,Cnidaria,Anthozoa,Anthozoa,Alcyonacea,Carijoa,Carijoa
uniq15059,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq15063,Mollusca,Gastropoda,Gastropoda,Pteropoda,Pteropoda,Pteropoda
uniq15068,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Nassarius,Nassarius
uniq15074,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq15078,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq15094,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Clausocalanus,Clausocalanus
uniq15095,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq15096,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq15097,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Conomurex,Conomurex
uniq15112,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Cosmocalanus,Cosmocalanus
uniq1513,Chordata,Actinopteri,Actinopteri,Lutjaniformes,Caesio,Caesio
uniq15131,Cnidaria,Hydrozoa,Hydrozoa,Leptothecata,Aequorea,Aequorea
uniq15134,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Asteronotus,Asteronotus
uniq1517,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq15185,Mollusca,Gastropoda,Gastropoda,Gastropoda,Cerithium,Cerithium
uniq15201,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq15208,Mollusca,Gastropoda,Gastropoda,Pteropoda,Pteropoda,Pteropoda
