uniq,X101156,X101157,X101169,X101171,X101176,X101178,X101200,X101202,X101221,X101222,X101226,X101228,X101236,X101238,X101246,X101248,X101262,X101264,X101268,X101270,X101276,X101279,X101283,X101286,X101295,X101297,X101320,X101321,X101341,X101343,X1623,X1624,X1629,X1630,X1632,X1633,X1635,X1636,X1638,X1639,X1641,X1642,X1644,X1645,X1650,X1651,X1656,X1657,X1662,X1663,X1668,X1669,X1674,X1675,X1677,X1678,X1689,X1690,X1755,X1756,X2572,X2573,X2587,X2588,X2599,X2600,X2602,X2603,X2608,X2609,X2614,X2615,X2620,X2621,X2626,X2627,X2632,X2633,X2635,X2636,X2638,X2639,X2641,X2642,X2644,X2645,X2647,X2648,X2662,X2663,EC,MC,OC,NCmax
uniq196,0,0,0,0,5,9,0,370,2,4,33,5,10,0,2,88,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,4
uniq223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,451,4,4,2,13,0,7,0,0,0,0,2,0,0,4
uniq394,0,0,0,0,201,3,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,98,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
uniq452,0,0,0,0,160,2,0,3,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
uniq663,0,0,0,0,0,47,0,97,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4
uniq164,0,0,0,0,0,14,2,67,3,2,12,12,22,0,0,19,0,0,0,0,0,0,0,2,2,0,0,0,0,25,0,2,0,0,0,4,0,0,2,8,0,7,3,7,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,4,0,15,16,3,45,62,3,0,7,43,47,75,2,20,60,16,47,21,2,2,2,2,0,0,0,0,0,5,0,3
uniq167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,3,0,0,0,82,500,8,14,2,10,0,14,0,0,0,0,0,0,0,3
uniq312,0,0,0,0,301,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
uniq46,0,0,0,0,3,5,0,3,0,0,2,3,3,0,0,19,0,2,0,0,6,2,5,0,26,18,0,2,0,68,258,331,11,21,75,86,31,403,29,218,10,37,88,78,7,10,0,0,58,9,65,2,0,0,113,7,0,2,3,0,0,0,0,5,4,19,3,4,23,92,7,3,15,19,74,236,3,38,138,114,225,112,14,14,7,16,0,3,4,0,0,0,0,3
uniq48,0,2,0,3,82,37,3,21,3,9,37,15,6,5,3,82,4,0,12,10,8,22,8,10,575,75,26,303,167,818,41,20,0,0,7,18,24,53,20,12,13,4,5,12,2,2,0,2,47,5,3,0,2,0,2,0,0,0,0,0,21,10,2,0,0,11,6,0,12,0,0,5,4,10,8,8,14,16,197,83,64,68,54,10,7,8,0,0,24,15,0,2,0,3
uniq727,0,0,0,0,0,0,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
uniq755,0,2,0,0,0,25,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,31,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
uniq340,0,0,0,0,0,4,0,215,5,5,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
uniq51,0,4,2,6,2,105,6,155,5,3,142,151,40,6,4,124,0,6,0,0,0,0,0,0,11,10,0,0,3,3,3,0,0,0,7,9,2,20,6,32,15,2,6,5,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,2,0,24,3,5,161,40,35,141,204,12,11,21,33,227,306,45,392,84,40,154,151,61,21,0,15,0,0,0,3,0,3,8,3
uniq60,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,7,2,4,0,0,0,0,0,3,2,8,0,0,2,0,5,3,31,2,125,50,2,30,47,95,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,6,4,4,5,82,100,0,8,354,1202,503,1046,43,106,20,38,0,0,0,0,2,2,0,3
uniq104,0,0,0,0,4,2,0,106,2,0,4,2,19,2,0,32,0,0,5,3,3,5,121,4,62,115,0,12,2,84,10,0,0,0,6,10,5,13,17,44,10,518,13,14,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,34,0,0,0,2,4,0,0,3,7,23,0,9,3,0,4,0,25,23,0,0,0,0,3,6,0,3,0,3
