uniq59	k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Labriformes_1489928(1.00),f:Labridae_8247(1.00),g:Chlorurus_126670(1.00),s:Chlorurus(1.00)	+	k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Labriformes_1489928,f:Labridae_8247,g:Chlorurus_126670,s:Chlorurus
uniq66	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus
uniq88	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.94),c:Malacostraca_6681(0.58),o:Decapoda_6683(0.54),f:Portunidae_6757(0.06),g:Carupa_557255(0.02),s:Carupa(0.02)	+	k:Eukaryota_2759
uniq107	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(0.99),s:Sagitta(0.99)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753,g:Sagitta_10230,s:Sagitta
uniq64	k:Eukaryota_2759(1.00),p:Mollusca_6447(0.70),c:Gastropoda_6448(0.67),o:Cycloneritida_977767(0.08),f:Neritidae_52926(0.08),g:Nerita_52927(0.08),s:Nerita(0.08)	+	k:Eukaryota_2759
uniq116				
uniq65	k:Eukaryota_2759(1.00),p:Mollusca_6447(0.68),c:Gastropoda_6448(0.68),o:Neogastropoda_6479(0.25),f:Volutidae_57614(0.01),g:Melo_927630(0.01),s:Melo(0.01)	+	k:Eukaryota_2759
uniq60	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.98),c:Insecta_50557(0.71),o:Diptera_7147(0.25),f:Simuliidae_7190(0.08),g:Simulium_7191(0.08),s:Simulium(0.08)	+	k:Eukaryota_2759,p:Arthropoda_6656
uniq109	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.95),c:Insecta_50557(0.69),o:Lepidoptera_7088(0.33),f:Erebidae_695564(0.05),g:Hemeroplanis_705963(0.03),s:Hemeroplanis(0.03)	+	k:Eukaryota_2759
uniq70				
uniq69	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Malacostraca_6681(1.00),o:Decapoda_6683(1.00),f:Luciferidae_111523(1.00),g:Lucifer_117980(1.00),s:Lucifer(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Malacostraca_6681,o:Decapoda_6683,f:Luciferidae_111523,g:Lucifer_117980,s:Lucifer
uniq85	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.98),c:Insecta_50557(0.87),o:Diptera_7147(0.41),f:Chironomidae_7149(0.06),s:Orthocladiinae(0.04)	+	k:Eukaryota_2759,p:Arthropoda_6656
uniq72				
uniq110				
uniq73				
uniq145	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.45),c:Insecta_50557(0.29),o:Coleoptera_7041(0.02),f:Melyridae_186093(0.02),s:Melyridae(0.02)	+	k:Eukaryota_2759
uniq78				
