otuID,phylum,class,order,family,genus,species
uniq12193,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Lamprohaminoea,Lamprohaminoea
uniq1221,Chordata,Actinopteri,Scombriformes,Scombridae,Rastrelliger,Rastrelliger
uniq12212,Arthropoda,Malacostraca,Decapoda,Portunidae,Thalamitoides,Thalamitoides
uniq12236,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres
uniq12255,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq12289,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq12292,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq12297,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,Creseis
uniq12302,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq12315,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq1232,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus
uniq12331,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1236,Chordata,Actinopteri,Actinopteri,Pomacentridae,Dischistodus,Dischistodus
uniq12364,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus
uniq12368,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Macrosetella,Macrosetella
uniq1240,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1242,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq12420,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Macrosetella,Macrosetella
uniq12440,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta,Ferosagitta
uniq12458,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
